pmc_name,name,street_address,city,zip5,source,APN,total_units,assessed_value,landuse_label,SITUS_COMM
AMC,Artisan,1601 Broadway,San Diego,92101,apartments.com,5343600500,265,109752000,,SAN DIEGO
AMC,Echo Pointe,4300 Echo Ct,La Mesa,91941,apartments.com,4994810600,4,1505583,Multifamily 2-4,LA MESA
AMC,Hillside Terrace Apartments,3262 College Pl,Lemon Grove,91945,apartments.com,4790623300,150,15382829,Apartment 61+,LEMON GROVE
AMC,Lakeview Village,3115 Sweetwater Springs Blvd,Spring Valley,91977,apartments.com,,,,,
AMC,Outlook at Mission Valley,8360 Phyllis Pl,San Diego,92123,apartments.com,6773603300,2,8361307,,SAN DIEGO
AMC,The Commodore,200 E 31st St,National City,91950,apartments.com,5622524500,92,22880465,Apartment 61+,NATIONAL CITY
AMC,Trolley Palm,4302 Palm Ave,La Mesa,91941,apartments.com,4990203700,75,24084114,Apartment 61+,LA MESA
Alfred,Winslow,4353 Park Blvd,San Diego,92103,apartments.com,4453102100,379,183151719,,SAN DIEGO
Allen Properties,Courtyard on 68th,4823 68th St,San Diego,92115,apartments.com,4682602400,38,13146625,Apartment 16-60,SAN DIEGO
Aperto Property Management,Meadowbrook,7784-7844 Paradise Valley Rd,San Diego,92139,apartments.com,5861021400,208,29008824,Apartment 61+,SAN DIEGO
Atlantic Pacific Companies,Cresta Bella,11035 Via Livorno,San Diego,11035,apartments.com,3130600500,368,89166117,Apartment 61+,SAN DIEGO
Atlantic Pacific Companies,River Run Village,2225-2295 River Run Dr,San Diego,92108,apartments.com,,,,,
Atlantic Pacific Companies,The Courtyards Pacific Village,10977 Pacific Point Pl,San Diego,10977,apartments.com,,,,,
Atlantic Pacific Companies,The Hills,15095 Via Hondonada,San Diego,15095,apartments.com,,,,,
Atlantic Pacific Companies,The Villas at Camino Bernardo,11203 Paseo Montanoso,San Diego,11203,apartments.com,3133014000,344,39829482,Apartment 61+,SAN DIEGO
AvalonBay,AVA Balboa Park,3288 5th Ave,San Diego,92103,apartments.com,4525553400,97,43300000,,SAN DIEGO
AvalonBay,AVA Pacific Beach,3883 Ingraham St,San Diego,92109,apartments.com,4234231300,506,211482177,Apartment 61+,SAN DIEGO
AvalonBay,eaves Rancho Penasquitos,10024 Paseo Montril,San Diego,10024,apartments.com,3150703900,250,67711037,Apartment 61+,SAN DIEGO
Avenue5 Residential,Ariva,4855 Ariva Way,San Diego,92123,apartments.com,3692209600,126,38501236,Apartment 61+,SAN DIEGO
Avenue5 Residential,Simone Little Italy,1401 Union St,San Diego,92101,apartments.com,5333430500,395,236100000,Apartment 61+,SAN DIEGO
Avenue5 Residential,The Summit at Point Loma,3950-3950 Leland St,San Diego,92106,apartments.com,4497902400,114,23397142,Apartment 61+,SAN DIEGO
Avenue5 Residential,Treehouse,2525 1st Ave,San Diego,92103,apartments.com,5330910300,107,7472956,Apartment 61+,SAN DIEGO
Avenue5 Residential,VAYA on Axia,1910 Axia Way,Chula Vista,91915,apartments.com,6430606900,278,31730000,Apartment 61+,CHULA VISTA
Avenue5 Residential,Vive Luxe,4890 Sunroad Centrum Ln,San Diego,92123,apartments.com,3692301500,442,194431112,Apartment 61+,""
Avenue5 Residential,Vive on The Park,8725 Ariva Ct,San Diego,92123,apartments.com,3692301700,302,98486750,Apartment 61+,SAN DIEGO
Berkshire,The Rey,801 A St,San Diego,92101,apartments.com,5340660800,478,174094190,,SAN DIEGO
Blackstone,Hidden Cove,910 Del Dios Hwy,Escondido,92029,apartments.com,2350904000,204,19668758,Apartment 61+,ESCONDIDO
Blackstone,Mariners Cove,4392 W Point Loma Blvd,San Diego,92107,apartments.com,4498673500,10,2867583,Apartment 5-15,SAN DIEGO
Bob Cota Realty,Casa de Palomar Apartments,225 Palomar St,Chula Vista,91911,apartments.com,6192221100,80,14777136,Apartment 61+,CHULA VISTA
Bob Cota Realty,Crestview Apartments,4515 3rd St,La Mesa,91941,apartments.com,4946302000,50,4562129,Apartment 16-60,LA MESA
Bob Cota Realty,Plaza Del Rey,900 E 12th St,National City,91950,apartments.com,5610110600,15,6568876,Apartment 5-15,NATIONAL CITY
Bob Cota Realty,Pomerado Gardens Apartments,12330 9th St,Poway,12330,apartments.com,3170213300,36,3452056,Apartment 16-60,POWAY
Bob Cota Realty,Rolando Place Apartments,4747-4759 67th St,San Diego,92115,apartments.com,4683303300,9,5097960,Apartment 5-15,SAN DIEGO
Bob Cota Realty,Sea Vale Bluff Apartments,671 Sea Vale St,Chula Vista,91910,apartments.com,5653001100,21,5439221,Apartment 16-60,CHULA VISTA
Bridge Property Management,Colonnade at Fletcher Hills,2700 Chatham St,El Cajon,92020,apartments.com,4813102300,42,15429969,Apartment 16-60,EL CAJON
Bridge Property Management,Cove La Mesa,7400 Parkway Dr,La Mesa,91942,apartments.com,4644800400,133,46744831,Apartment 61+,LA MESA
Bridge Property Management,Forest Park at Fletcher Hills,1210-1250 Petree St,El Cajon,92020,apartments.com,4824200300,158,58449156,Apartment 61+,EL CAJON
Bridge Property Management,Palmilla,5474 Reservoir Dr,San Diego,92120,apartments.com,4635902700,117,30957558,Apartment 61+,SAN DIEGO
Bridge Property Management,Parkway Club,1237-1237 Graves Ave,El Cajon,92021,apartments.com,4830812700,224,74284560,Apartment 61+,EL CAJON
Brookfield Properties,The Merian,601 11th Ave,San Diego,92101,apartments.com,2360910400,428,270797433,Single Family,ESCONDIDO
CONAM Management Corporation,,1515 S Melrose Dr,Vista,92081,direct,1690110500,184,38957020,Apartment 61+,VISTA
CONAM Management Corporation,,2603 Jefferson St,Carlsbad,92008,direct,1551704800,44,19679090,Apartment 16-60,CARLSBAD
CONAM Management Corporation,,4380 Alvarado Canyon Road,San Diego,92120,direct,4613202800,103,11489797,Hotel/Motel,SAN DIEGO
